latitude,longitude,pga_475_overall,pga_2475_overall,pga_475_bg
22.0,68.0,0.04616889789208835,0.09323578658379533,0.0033554070063259033
22.0,68.1,0.05335920201185616,0.1083116933469161,0.0036858782323216147
22.0,68.19999999999999,0.057289737623694256,0.1157955386024183,0.004016083449914466
22.0,68.29999999999998,0.05938379715091804,0.11933499265235097,0.004318736388968375
22.0,68.39999999999998,0.060734544605016365,0.1214913067131978,0.00457491122537449
22.0,68.49999999999997,0.06156253043988744,0.12261057340603583,0.004783802234627291
22.0,68.59999999999997,0.06207096437653897,0.1231182138429887,0.004956756697579199
22.0,68.69999999999996,0.06256126984417026,0.12372096493121805,0.005103404183895289
22.0,68.79999999999995,0.06288804721430323,0.12400985195441498,0.005228514059179972
22.0,68.89999999999995,0.06308328566290629,0.12404277403926872,0.005337827142630111
22.0,68.99999999999994,0.06335909377513216,0.12435261259774119,0.005433969705532575
22.0,69.09999999999994,0.06353204018409173,0.1244556734459663,0.005518579617588902
22.0,69.19999999999993,0.06361078476141706,0.12436480504893244,0.005592772814168141
22.0,69.29999999999993,0.06379215426181901,0.12458571729952818,0.005657288387495699
22.0,69.39999999999992,0.06388932634695176,0.12462616951170873,0.005712103624309764
22.0,69.49999999999991,0.0639062730677076,0.12449096806974648,0.005758173989220565
22.0,69.59999999999991,0.06403421651166738,0.12467902744742056,0.005795608651459531
22.0,69.6999999999999,0.06408499802608833,0.12469616527314219,0.00582432747963837
22.0,69.7999999999999,0.06405865067714465,0.12454333950269307,0.005843969263590155
22.0,69.89999999999989,0.06414151620362264,0.1247151698521411,0.005853888494535628
22.0,69.99999999999989,0.06414290973363809,0.12471500458454837,0.0058534200603949085
22.0,70.09999999999988,0.06405909880780389,0.1245401424997781,0.005841689604168884
22.0,70.19999999999987,0.06407344387436148,0.12468179139890509,0.005817655514397235
22.0,70.29999999999987,0.06399274626744843,0.12463951328538492,0.005780369827511985
22.0,70.39999999999986,0.06381044422667162,0.12440539160923218,0.005728753119295018
22.0,70.49999999999986,0.06370879630351206,0.12446604869102106,0.0056615495115071475
22.0,70.59999999999985,0.06348896125891242,0.124309039289736,0.0055764474712869895
22.0,70.69999999999985,0.06313603257175435,0.12390783234411919,0.005472424511105937
22.0,70.79999999999984,0.06282107293609032,0.12372321062387186,0.005346747114467917
22.0,70.89999999999984,0.062312238889026934,0.12317834575031125,0.005195181939521848
22.0,70.99999999999983,0.061535847292728325,0.12212941019671508,0.005009674742364416
22.0,71.09999999999982,0.060555038610426215,0.12081673680575662,0.004780991658360343
22.0,71.19999999999982,0.05888727268850019,0.11811323617620433,0.004501767594714203
22.0,71.29999999999981,0.055910490690256436,0.11268308076140417,0.004177894906234305
22.0,71.3999999999998,0.050646407422745725,0.10215528178003014,0.0038346362419975624
22.0,71.4999999999998,0.04230754915113558,0.08397850362746534,0.0034973883043667832
22.1,68.0,0.05398035515232999,0.10945669785660722,0.003751396500671297
22.1,68.1,0.06338477719317141,0.12906083934313015,0.004164594610015885
22.1,68.19999999999999,0.06800092237471198,0.13771621917853824,0.004580536854991138
22.1,68.29999999999998,0.07019042882322273,0.1412499448895414,0.004952454064236242
22.1,68.39999999999998,0.07168667050566174,0.14362309514842836,0.005254975028207135
22.1,68.49999999999997,0.07252672060555093,0.14469904295769623,0.005496059858012271
22.1,68.59999999999997,0.07294700150940073,0.1449460959108399,0.005693625703118623
22.1,68.69999999999996,0.07352061855166983,0.14572865110926145,0.00585874179794174
22.1,68.79999999999995,0.07384775958639407,0.14599336583359235,0.006001624500196909
22.1,68.89999999999995,0.073961279238702,0.14579840989608106,0.006126816662320159
22.1,68.99999999999994,0.07432237625858615,0.14631008253392144,0.006236813970970394
22.1,69.09999999999994,0.07449631429342046,0.14640586061701016,0.006332838885992011
22.1,69.19999999999993,0.07449262728820868,0.1460984899998725,0.006416720973049855
22.1,69.29999999999993,0.0747553483658161,0.1465252456146272,0.006489567961786908
22.1,69.39999999999992,0.07485125822393898,0.14656142758865445,0.006552406021675045
22.1,69.49999999999991,0.07478571330149905,0.14621257970000376,0.006605714596193038
22.1,69.59999999999991,0.07499532041431431,0.14660811261765733,0.006649281118275508
22.1,69.6999999999999,0.075047506306083,0.1466236847452653,0.006683357241671475
22.1,69.7999999999999,0.07494284852894952,0.1462607021729726,0.006707508698071548
22.1,69.89999999999989,0.07511105557220085,0.1466431782795827,0.006720580941827187
22.1,69.99999999999989,0.07511750863835462,0.14664518368042917,0.0067220151619062935
22.1,70.09999999999988,0.07495794925989312,0.14626413628794996,0.006710650288121028
22.1,70.19999999999987,0.07505836544045677,0.14662046960534195,0.006684788234050142
22.1,70.29999999999987,0.07498156757154929,0.14658484527636412,0.00664351671137266
22.1,70.39999999999986,0.07471996249807267,0.14614923706925506,0.006585466701027062
22.1,70.49999999999986,0.07470045515903007,0.14643189938879794,0.006508866365853576
22.1,70.59999999999985,0.07447957475197067,0.14629095308634993,0.006412557668237492
22.1,70.69999999999985,0.07404175026528181,0.14569999150690677,0.006294557077318334
22.1,70.79999999999984,0.07380792571478796,0.1457583494071125,0.00615006140628025
22.1,70.89999999999984,0.07329737208939668,0.14525390413023645,0.00597531848218586
22.1,70.99999999999983,0.07242870970638884,0.14403334229776044,0.005762051427349539
22.1,71.09999999999982,0.07150073792584824,0.14296168006949944,0.005494569126112676
22.1,71.19999999999982,0.06972066298789405,0.14019015542185087,0.005158073661784087
22.1,71.29999999999981,0.0662857307564065,0.13399708505089397,0.004753271691433749
22.1,71.3999999999998,0.05987152260238865,0.12137062392518966,0.004319905387346548
22.1,71.4999999999998,0.048618013255579226,0.09691763537099807,0.0039000584962637537
22.200000000000003,68.0,0.05806611774552692,0.11696524826564109,0.004157693221004533
22.200000000000003,68.1,0.06804087781043543,0.1375257338152641,0.004658207226798896
22.200000000000003,68.19999999999999,0.07304811087872715,0.1468171235094984,0.005156052489441254
22.200000000000003,68.29999999999998,0.0754588525641369,0.15069045280578391,0.005584729719667939
22.200000000000003,68.39999999999998,0.07707494979579854,0.15318551718384826,0.005921677874002038
22.200000000000003,68.49999999999997,0.07801211929724851,0.15435547405574362,0.006189043016793468
22.200000000000003,68.59999999999997,0.07853020651548394,0.15470503201026414,0.006407282254539047
22.200000000000003,68.69999999999996,0.07917542046533597,0.15552563548233578,0.006592133849630769
22.200000000000003,68.79999999999995,0.0795762526912221,0.15585196430361686,0.006753390885445428
22.200000000000003,68.89999999999995,0.07976471593900859,0.15574093830442484,0.0068954153071201715
22.200000000000003,68.99999999999994,0.08017287508877534,0.1562701414404544,0.007018960442922367
