period_start,period_end,b_signal,rate_signal,cluster_signal,risk_score,risk_label,q33,q66
1991-01-20 00:00:00+00:00,1991-02-03 00:00:00+00:00,,0.49678878680333993,,0.49678878680334,HIGH,0.467868180009331,0.467868180009331
1991-02-03 00:00:00+00:00,1991-02-17 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-02-17 00:00:00+00:00,1991-03-03 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-03-03 00:00:00+00:00,1991-03-17 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-03-17 00:00:00+00:00,1991-03-31 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-03-31 00:00:00+00:00,1991-04-14 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-04-14 00:00:00+00:00,1991-04-28 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-04-28 00:00:00+00:00,1991-05-12 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-05-12 00:00:00+00:00,1991-05-26 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-05-26 00:00:00+00:00,1991-06-09 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-06-09 00:00:00+00:00,1991-06-23 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-06-23 00:00:00+00:00,1991-07-07 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-07-07 00:00:00+00:00,1991-07-21 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-07-21 00:00:00+00:00,1991-08-04 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-08-04 00:00:00+00:00,1991-08-18 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-08-18 00:00:00+00:00,1991-09-01 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-09-01 00:00:00+00:00,1991-09-15 00:00:00+00:00,,0.525730897369017,,0.525730897369017,HIGH,0.467868180009331,0.467868180009331
1991-09-15 00:00:00+00:00,1991-09-29 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-09-29 00:00:00+00:00,1991-10-13 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-10-13 00:00:00+00:00,1991-10-27 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-10-27 00:00:00+00:00,1991-11-10 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-11-10 00:00:00+00:00,1991-11-24 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-11-24 00:00:00+00:00,1991-12-08 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-12-08 00:00:00+00:00,1991-12-22 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1991-12-22 00:00:00+00:00,1992-01-05 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-01-05 00:00:00+00:00,1992-01-19 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-01-19 00:00:00+00:00,1992-02-02 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-02-02 00:00:00+00:00,1992-02-16 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-02-16 00:00:00+00:00,1992-03-01 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-03-01 00:00:00+00:00,1992-03-15 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-03-15 00:00:00+00:00,1992-03-29 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-03-29 00:00:00+00:00,1992-04-12 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-04-12 00:00:00+00:00,1992-04-26 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-04-26 00:00:00+00:00,1992-05-10 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-05-10 00:00:00+00:00,1992-05-24 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-05-24 00:00:00+00:00,1992-06-07 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-06-07 00:00:00+00:00,1992-06-21 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-06-21 00:00:00+00:00,1992-07-05 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-07-05 00:00:00+00:00,1992-07-19 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-07-19 00:00:00+00:00,1992-08-02 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-08-02 00:00:00+00:00,1992-08-16 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-08-16 00:00:00+00:00,1992-08-30 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-08-30 00:00:00+00:00,1992-09-13 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-09-13 00:00:00+00:00,1992-09-27 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-09-27 00:00:00+00:00,1992-10-11 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-10-11 00:00:00+00:00,1992-10-25 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-10-25 00:00:00+00:00,1992-11-08 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-11-08 00:00:00+00:00,1992-11-22 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-11-22 00:00:00+00:00,1992-12-06 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-12-06 00:00:00+00:00,1992-12-20 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1992-12-20 00:00:00+00:00,1993-01-03 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1993-01-03 00:00:00+00:00,1993-01-17 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
1993-01-17 00:00:00+00:00,1993-01-31 00:00:00+00:00,,0.46786818000933095,,0.467868180009331,HIGH,0.467868180009331,0.467868180009331
